Data;Value
jan/96;71.7
fev/96;71.9
mar/96;72.1
abr/96;72.5
mai/96;72.8
jun/96;72.9
jul/96;73.5
ago/96;73.8
set/96;74.0
out/96;74.2
nov/96;74.4
dez/96;74.2
jan/97;74.3
fev/97;74.2
mar/97;73.8
abr/97;74.1
mai/97;74.5
jun/97;74.8
jul/97;75.0
ago/97;74.9
set/97;75.3
out/97;75.8
nov/97;75.2
dez/97;74.1
jan/98;74.8
fev/98;74.6
mar/98;74.7
abr/98;74.6
mai/98;74.4
jun/98;74.1
jul/98;74.2
ago/98;74.4
set/98;74.5
out/98;74.2
nov/98;74.4
dez/98;74.1
jan/99;73.6
fev/99;73.2
mar/99;73.3
abr/99;73.2
mai/99;73.5
jun/99;74.0
jul/99;73.2
ago/99;73.3
set/99;73.8
out/99;73.9
nov/99;74.4
dez/99;75.2
jan/00;75.2
fev/00;75.7
mar/00;76.1
abr/00;76.3
mai/00;76.7
jun/00;77.4
jul/00;77.3
ago/00;77.5
set/00;77.4
out/00;78.0
nov/00;77.8
dez/00;78.6
jan/01;78.2
fev/01;78.0
mar/01;77.7
abr/01;77.5
mai/01;77.2
jun/01;76.7
jul/01;75.8
ago/01;75.6
set/01;75.3
out/01;75.3
nov/01;75.4
dez/01;75.5
jan/02;76.5
fev/02;76.8
mar/02;77.2
abr/02;77.7
mai/02;77.5
jun/02;77.5
jul/02;78.0
ago/02;78.7
set/02;78.4
out/02;78.6
nov/02;78.5
dez/02;77.7
jan/03;78.5
fev/03;78.9
mar/03;78.4
abr/03;78.2
mai/03;77.6
jun/03;77.4
jul/03;77.8
ago/03;77.7
set/03;78.7
out/03;78.9
nov/03;79.4
dez/03;79.8
jan/04;79.6
fev/04;80.3
mar/04;80.5
abr/04;80.9
mai/04;82.1
jun/04;82.5
jul/04;83.3
ago/04;83.1
set/04;83.3
out/04;83.2
nov/04;83.1
dez/04;84.1
jan/05;83.8
fev/05;83.5
mar/05;83.7
abr/05;84.1
mai/05;84.7
jun/05;85.0
jul/05;84.9
ago/05;84.6
set/05;84.6
out/05;84.3
nov/05;85.5
dez/05;86.0
jan/06;87.4
fev/06;86.9
mar/06;86.7
abr/06;86.2
mai/06;86.9
jun/06;86.4
jul/06;87.0
ago/06;87.7
set/06;87.8
out/06;87.9
nov/06;88.8
dez/06;89.2
jan/07;89.5
fev/07;89.7
mar/07;90.5
abr/07;91.0
mai/07;90.7
jun/07;91.3
jul/07;91.1
ago/07;91.5
set/07;91.7
out/07;92.3
nov/07;92.7
dez/07;93.2
jan/08;93.6
fev/08;93.7
mar/08;93.6
abr/08;94.5
mai/08;94.6
jun/08;95.8
jul/08;95.9
ago/08;95.3
set/08;96.0
out/08;95.8
nov/08;93.8
dez/08;91.7
jan/09;91.7
fev/09;92.2
mar/09;92.6
abr/09;92.7
mai/09;92.9
jun/09;94.3
jul/09;94.4
ago/09;95.1
set/09;96.3
out/09;96.4
nov/09;96.6
dez/09;97.3
jan/10;97.8
fev/10;99.0
mar/10;100.0
abr/10;99.5
mai/10;99.8
jun/10;100.0
jul/10;100.2
ago/10;100.3
set/10;100.8
out/10;100.8
nov/10;100.3
dez/10;101.6
jan/11;101.2
fev/11;102.0
mar/11;102.5
abr/11;102.3
mai/11;103.1
jun/11;102.9
jul/11;102.7
ago/11;102.6
set/11;102.2
out/11;102.0
nov/11;102.8
dez/11;103.3
jan/12;102.9
fev/12;103.7
mar/12;103.9
abr/12;103.8
mai/12;104.5
jun/12;104.9
jul/12;104.7
ago/12;105.8
set/12;104.9
out/12;105.8
nov/12;105.4
dez/12;106.2
jan/13;106.0
fev/13;105.4
mar/13;105.6
abr/13;106.5
mai/13;106.3
jun/13;106.4
jul/13;106.5
ago/13;106.7
set/13;106.6
out/13;106.8
nov/13;106.0
dez/13;106.0
jan/14;106.9
fev/14;106.7
mar/14;106.3
abr/14;106.2
mai/14;105.6
jun/14;104.9
jul/14;105.2
ago/14;105.5
set/14;105.6
out/14;105.8
nov/14;106.1
dez/14;104.9
jan/15;105.0
fev/15;104.3
mar/15;103.9
abr/15;103.3
mai/15;102.8
jun/15;102.3
jul/15;101.8
ago/15;101.2
set/15;100.6
out/15;99.8
nov/15;99.5
dez/15;99.4
jan/16;98.7
fev/16;98.3
mar/16;98.4
abr/16;98.4
mai/16;98.2
jun/16;98.5
jul/16;98.4
ago/16;97.5
set/16;97.5
out/16;97.1
nov/16;97.3
dez/16;98
jan/17;98.3
fev/17;98.2
mar/17;97.8
