Dates;Swap rate ;Manufacturing Expectations ;Services  Expectations;Consumers Expectations ;Ibovespa;Terms of Trade ;Production of Durables Consumer Goods;Exports (Quantum)
May/16;-13.24000;77.50000;74.30000;73.50000;48471.00000;107.23755;65.00000;129.24670
Jun/16;-13.13000;83.50000;77.10000;79.10000;51526.00000;106.89299;66.30000;115.49259
Jul/16;-13.23000;87.10000;80.70000;85.30000;57308.00000;106.30424;68.90000;119.69653
Aug/16;-13.15000;87.10000;83.90000;86.70000;57901.00000;108.31736;64.10000;113.24729
Sep/16;-12.78000;89.40000;88.00000;88.70000;58367.00000;108.42134;66.00000;112.88888
Oct/16;-12.36000;87.40000;86.50000;88.50000;64924.00000;109.51745;65.70000;105.36855
Nov/16;-12.37000;87.80000;86.20000;85.60000;61906.00000;114.84913;68.60000;120.46869
Dec/16;-11.84000;86.30000;83.40000;79.80000;60227.00000;112.73513;72.20000;110.57126
Jan/17;-11.11000;91.00000;86.60000;88.10000;64670.00000;117.52950;68.70000;123.42249
Feb/17;-10.53000;89.30000;88.50000;90.60000;66662.10000;116.38461;73.60000;130.98997
