Mˆs;ICEA ;IEC ;;;;
jan/01;104.5;115.9;;;;
fev/01;104.1;119.7;;;;
mar/01;90.6;120.5;;;;
abr/01;88.9;116.1;;;;
mai/01;83.6;115;;;;
jun/01;64.8;89.2;;;;
jul/01;68.7;99.5;;;;
ago/01;68.8;98.1;;;;
set/01;70.2;104.4;;;;
out/01;62.7;92.6;;;;
nov/01;65.5;86.9;;;;
dez/01;71.4;96.2;;;;
jan/02;70.7;97.9;;;;
fev/02;74.3;101.5;;;;
mar/02;77.7;100.4;;;;
abr/02;74.4;110.4;;;;
mai/02;75;110.2;;;;
jun/02;66.6;96.3;;;;
jul/02;77.2;104.9;;;;
ago/02;69.8;103.2;;;;
set/02;76.9;114.1;;;;
out/02;70.8;111;;;;
nov/02;69.2;118.3;;;;
dez/02;74.4;121.9;;;;
jan/03;74.6;121.9;;;;
fev/03;75.5;122.2;;;;
mar/03;71.9;121.9;;;;
abr/03;78.8;126.9;;;;
mai/03;79.3;133.9;;;;
jun/03;82.4;139.8;;;;
jul/03;75;135.8;;;;
ago/03;74.5;132.6;;;;
set/03;75.5;127;;;;
out/03;76.8;123.3;;;;
nov/03;79.7;128;;;;
dez/03;85.6;135.2;;;;
jan/04;95.7;143.2;;;;
fev/04;93.9;143;;;;
mar/04;85.9;131.5;;;;
abr/04;82.9;124.8;;;;
mai/04;100.4;140.1;;;;
jun/04;93.9;132.5;;;;
jul/04;98;132.2;;;;
ago/04;94.2;138.4;;;;
set/04;95.3;150.5;;;;
out/04;112.4;161.6;;;;
nov/04;112.4;166.7;;;;
dez/04;120;154;;;;
jan/05;124.1;159;;;;
fev/05;124.1;161.4;;;;
mar/05;124.8;158.4;;;;
abr/05;121.2;155.5;;;;
mai/05;115.2;145.9;;;;
jun/05;113.5;145.6;;;;
jul/05;114.6;145.6;;;;
ago/05;116.3;130.6;;;;
set/05;103.1;113.3;;;;
out/05;99.5;113.1;;;;
nov/05;115.7;118.3;;;;
dez/05;126.3;132.7;;;;
jan/06;125.8;135.3;;;;
fev/06;128.1;144.7;;;;
mar/06;130.2;142.8;;;;
abr/06;128.7;134.8;;;;
mai/06;131.6;142.6;;;;
jun/06;124.5;141;;;;
jul/06;128;138.3;;;;
ago/06;120.1;133.7;;;;
set/06;125;135.6;;;;
out/06;123.6;138.1;;;;
nov/06;125.1;141;;;;
dez/06;121.3;131.6;;;;
jan/07;136.7;132;;;;
fev/07;138.2;131.9;;;;
mar/07;132.4;124.9;;;;
abr/07;135.8;122.7;;;;
mai/07;136.7;119.7;;;;
jun/07;138.4;124;;;;
jul/07;140.2;123.4;;;;
ago/07;136.4;126.2;;;;
set/07;141.1;125.6;;;;
out/07;147;124.2;;;;
nov/07;150.1;127;;;;
dez/07;145.8;136;;;;
jan/08;153.6;135.3;;;;
fev/08;153.6;142.5;;;;
mar/08;153.7;143.7;;;;
abr/08;157.1;142.9;;;;
mai/08;155.1;142.2;;;;
jun/08;152.2;136.2;;;;
jul/08;140.2;125.3;;;;
ago/08;140.5;134.8;;;;
set/08;139;142.8;;;;
out/08;139.6;141;;;;
nov/08;131.7;135.3;;;;
dez/08;120.4;134.2;;;;
jan/09;119.6;128.9;;;;
fev/09;130.4;136.6;;;;
mar/09;117.5;139.8;;;;
abr/09;118.2;131.8;;;;
mai/09;120.7;134.5;;;;
jun/09;128.5;147.6;;;;
jul/09;134.5;152;;;;
ago/09;134.8;152.8;;;;
set/09;141.9;153.4;;;;
out/09;148.5;162.9;;;;
nov/09;146.6;161.9;;;;
dez/09;150.5;160.7;;;;
jan/10;154.8;164.3;;;;
fev/10;160.8;161.9;;;;
mar/10;160;159.9;;;;
abr/10;146.5;160.1;;;;
mai/10;152.5;158;;;;
jun/10;155.7;163.8;;;;
jul/10;154;159.3;;;;
ago/10;163.4;165.3;;;;
set/10;164.1;161.6;;;;
out/10;155.6;155.2;;;;
nov/10;159.9;160.2;;;;
dez/10;162.8;165.2;;;;
jan/11;156.5;163.7;;;;
fev/11;161.3;166.2;;;;
mar/11;157.1;162.4;;;;
abr/11;154.1;163;;;;
mai/11;149.1;155.6;;;;
jun/11;149.9;156.4;;;;
jul/11;150.6;154.5;;;;
ago/11;149.8;154.6;;;;
set/11;152.3;155.3;;;;
out/11;149;153.9;;;;
nov/11;149.1;159.6;;;;
dez/11;150.5;163.3;;;;
jan/12;151.9;162.6;;;;
fev/12;167.9;171.7;;;;
mar/12;162.4;165.8;;;;
abr/12;163.2;166.2;;;;
mai/12;156.2;167.6;;;;
jun/12;159.7;164.1;;;;
jul/12;158.3;162;;;;
ago/12;155.6;156.8;;;;
set/12;157.2;159;;;;
out/12;159.4;162.7;;;;
nov/12;152.4;164.6;;;;
dez/12;160.1;162.9;;;;
jan/13;156.1;163.5;;;;
fev/13;166;165.8;;;;
mar/13;155.6;162.8;;;;
abr/13;153;157.3;;;;
mai/13;145.1;146.5;;;;
jun/13;147.5;143.4;;;;
jul/13;136.4;136.9;;;;
ago/13;133.1;133;;;;
set/13;139.5;134.9;;;;
out/13;139.4;139.1;;;;
nov/13;136.9;138.7;;;;
dez/13;138.2;135.5;;;;
jan/14;130.2;132.8;;;;
fev/14;142.6;132.2;;;;
mar/14;132.4;121.4;;;;
abr/14;126.9;115.8;;;;
mai/14;111.8;107.9;;;;
jun/14;110.9;105;;;;
jul/14;109.2;109.8;;;;
ago/14;110.1;110.8;;;;
set/14;113.8;122.3;;;;
out/14;107.1;121.6;;;;
nov/14;103.4;124.4;;;;
dez/14;108.7;115.8;;;;
jan/15;110.7;114;;;;
fev/15;109.7;115.1;;;;
mar/15;103.3;109.3;;;;
abr/15;95.2;105.8;;;;
mai/15;81.4;98.7;;;;
jun/15;74.1;101.5;;;;
jul/15;61.3;100;;;;
ago/15;59.3;101.6;;;;
set/15;59.8;102.7;;;;
out/15;56.1;110.6;;;;
nov/15;54.3;106.4;;;;
dez/15;57.9;106.6;;;;
jan/16;57.1;110.3;;;;
fev/16;66.5;114.4;;;;
mar/16;53.5;113.2;;;;
abr/16;51.9;111.5;;;;
mai/16;47.4;119.9;;;;
jun/16;52.4;128.5;;;;
jul/16;51.3;128.6;;;;
ago/16;54.7;130.3;;;;
set/16;58.7;139.1;;;;
out/16;59.1;137.2;;;;
nov/16;60.1;143.8;;;;
dez/16;72.6;136.1;;;;
jan/17;68.2;125;;;;
42767;140;;;;;
