Data,PIB a preços de mercado,Despesa de consumo das famílias,Despesa de consumo da administração pública,Formação bruta de capital fixo,Variação de estoque,Exportação de bens e serviços,Importação de bens e serviços (-)
1º trimestre 1996,189323,125685,35666,35403,-4964,12306,14773
2º trimestre 1996,204611,132511,39023,39326,-3355,14576,17470
3º trimestre 1996,221513,142658,41810,41418,994,15560,20928
4º trimestre 1996,239316,156087,52324,43187,-4417,15085,22949
1º trimestre 1997,219117,147808,42139,42697,-7355,13162,19333
2º trimestre 1997,232890,154447,45485,46189,-8063,17402,22570
3º trimestre 1997,246178,157598,45830,47287,2106,18529,25171
4º trimestre 1997,253904,161954,52540,45894,374,17398,24255
1º trimestre 1998,235701,157103,46994,45595,-8376,16099,21714
2º trimestre 1998,251936,159194,49307,48379,-853,18805,22896
3º trimestre 1998,258043,163447,49839,47636,3701,18786,25366
4º trimestre 1998,256671,163187,55037,44249,1743,16781,24326
1º trimestre 1999,250668,164893,48863,44121,-3515,22153,25847
2º trimestre 1999,268709,170252,51749,47152,3829,24728,29001
3º trimestre 1999,274126,178811,53944,46383,312,27646,32971
4º trimestre 1999,294208,189576,60623,47432,3434,29511,36368
1º trimestre 2000,276927,176025,49216,56887,-497,26402,31107
2º trimestre 2000,292789,189996,52695,53911,931,30239,34983
3º trimestre 2000,308896,200012,54588,53879,6805,33768,40155
4º trimestre 2000,320481,208493,68544,54811,-61,31756,43062
1º trimestre 2001,312470,203369,55190,61689,1547,33576,42902
2º trimestre 2001,323724,210284,58687,62067,426,40837,48577
3º trimestre 2001,332524,211486,59988,60427,6445,45701,51523
4º trimestre 2001,347038,218362,80645,58153,-4158,42667,48633
1º trimestre 2002,342297,215913,65697,62806,1804,34812,38735
2º trimestre 2002,367363,225796,71519,65569,7826,38896,42244
3º trimestre 2002,379795,233655,68751,67912,-235,65894,56182
4º trimestre 2002,399333,246172,88957,70596,-16499,72262,62154
1º trimestre 2003,397242,257432,70185,70262,-5652,63031,58016
2º trimestre 2003,418987,260277,78572,68696,1755,62162,52474
3º trimestre 2003,439350,267445,82553,71785,5204,66754,54391
4º trimestre 2003,462372,277306,96431,74519,3021,68852,57759
1º trimestre 2004,444783,274159,76588,76797,5596,66313,54670
2º trimestre 2004,481795,284833,84760,83337,9433,82950,63518
3º trimestre 2004,505252,301881,90362,90684,1330,90341,69346
4º trimestre 2004,525920,317821,109840,88268,-4763,84321,69567
1º trimestre 2005,499710,308544,89562,85394,773,77094,61657
2º trimestre 2005,535557,321752,95935,92729,7349,82694,64902
3º trimestre 2005,552859,332896,99485,96634,1882,88086,66125
4º trimestre 2005,582458,350104,125041,95462,-6777,83005,64378
1º trimestre 2006,554270,345002,100992,96723,-1707,76049,62788
2º trimestre 2006,581977,355817,105729,100733,6669,79740,66710
3º trimestre 2006,617848,368734,111875,108368,6820,98608,76558
4º trimestre 2006,655355,386663,140138,108850,2823,91945,75063
1º trimestre 2007,631423,384999,114489,109267,13576,85082,75990
2º trimestre 2007,670655,400751,123655,119167,15015,89593,77527
3º trimestre 2007,691846,410354,125131,129921,16546,95806,85912
4º trimestre 2007,726339,432652,152024,131177,4469,92066,86048
1º trimestre 2008,712055,433753,128394,132371,23504,80423,86390
2º trimestre 2008,769525,456473,139783,147732,25909,98350,98722
3º trimestre 2008,812603,480468,144805,168886,17307,115427,114290
4º trimestre 2008,815620,486816,172887,153856,2755,126681,127375
1º trimestre 2009,756127,474264,150521,134945,2750,87579,93932
2º trimestre 2009,803578,504220,150885,147362,-3905,94053,89037
3º trimestre 2009,852843,534397,157480,172382,-8450,92891,95857
4º trimestre 2009,920491,552152,196078,181987,-588,87157,96294
1º trimestre 2010,886396,546390,163726,177983,12735,86093,100531
2º trimestre 2010,944145,568565,172803,193392,15323,104085,110024
3º trimestre 2010,997935,596732,179940,214814,19042,112718,125311
4º trimestre 2010,1057371,628479,222497,211757,2121,114373,121856
1º trimestre 2011,1016533,623595,177784,209993,17754,102542,115133
2º trimestre 2011,1086714,648657,199018,220967,24049,123711,129689
3º trimestre 2011,1112334,668612,199027,237137,12078,135788,140308
4º trimestre 2011,1160801,696950,241208,233831,-607,139761,150342
1º trimestre 2012,1129460,694657,194548,233248,24928,117370,135292
2º trimestre 2012,1183120,718087,215517,244215,19755,144376,158831
3º trimestre 2012,1230450,753551,215553,259598,11380,151024,160656
4º trimestre 2012,1271730,790539,266561,260399,-22336,150704,174137
1º trimestre 2013,1241642,777914,214452,256728,31345,124056,162853
2º trimestre 2013,1322597,806166,246994,279651,14876,154720,179809
3º trimestre 2013,1354137,833141,244363,291362,17294,168182,200205
4º trimestre 2013,1413243,873201,301466,287203,-21829,173120,199917
1º trimestre 2014,1385897,872896,244653,286823,28068,144091,190634
2º trimestre 2014,1422177,887580,269329,281935,10940,161878,189485
3º trimestre 2014,1462003,912081,272890,289695,20111,171785,204558
4º trimestre 2014,1508875,965848,320001,290000,-20090,158622,205506
1º trimestre 2015,1455390,933659,266565,279770,24191,153364,202159
2º trimestre 2015,1481126,937414,289929,270550,-1515,190065,205317
3º trimestre 2015,1509759,959413,287151,274947,-4410,212758,220100
4º trimestre 2015,1554297,1000491,339821,260014,-46762,217240,216506
1º trimestre 2016,1498375,974724,283027,251495,-10609,196351,196613
2º trimestre 2016,1557722,985004,308973,260049,-11460,208412,193256
3º trimestre 2016,1580204,1009564,303383,260490,-514,192850,185569
4º trimestre 2016,1630594,1042210,369297,254786,-36262,185014,184451
